铁路运输辅助活动	106100102	106900000	3
城市公共交通运输	106100103	106901000	3
公路旅客运输	106100104	106901000	3
道路货物运输	106100105	106901000	3
道路运输辅助活动	106100106	106901000	3
水上旅客运输	106100107	106902000	3
水上货物运输	106100108	106902000	3
水上运输辅助活动	106100109	106902000	3
航空客货运输	106100110	106903000	3
通用航空服务	106100111	106903000	3
航空运输辅助活动	106100112	106903000	3
管道运输业	106101100	106101000	3
装卸搬运	106102100	106102000	3
运输代理业	106102101	106102000	3
谷物、棉花等农产品仓储	106103100	106904000	3
其他仓储业	106103101	106904000	3
邮政基本服务	106103102	106905000	3
快递服务	106103103	106905000	3
旅游饭店	107100100	107900000	3
一般旅馆	107100101	107900000	3
其他住宿业	107100102	107900000	3
正餐服务	107100103	107901000	3
快餐服务	107100104	107901000	3
饮料及冷饮服务	107100105	107901000	3
其他餐饮业	107100106	107901000	3
电信	108100100	108100000	3
广播电视传输服务	108100101	108100000	3
卫星传输服务	108100102	108100000	3
互联网接入及相关服务	108101100	108901000	3
互联网信息服务	108101101	108901000	3
其他互联网服务	108101102	108901000	3
软件开发	108101103	108902000	3
信息系统集成服务	108101104	108902000	3
信息技术咨询服务	108101105	108902000	3
数据处理和存储服务	108101106	108902000	3
集成电路设计	108101107	108902000	3
其他信息技术服务业	108101108	108902000	3
中央银行服务	109100100	109900000	3
货币银行服务	109100101	109900000	3
非货币银行服务	109100102	109900000	3
银行监管服务	109100103	109900000	3
证券市场服务	109100104	109901000	3
期货市场服务	109100105	109901000	3
证券期货监管服务	109100106	109901000	3
资本投资服务	109100107	109901000	3
其他资本市场服务	109100108	109901000	3
人身保险	109100109	109903000	3
财产保险	109100110	109903000	3
再保险	109100111	109903000	3
养老金	109100112	109903000	3
保险经纪与代理服务	109100113	109903000	3
保险监管服务	109100114	109903000	3
其他保险活动	109100115	109903000	3
金融信托与管理服务	109100116	109904000	3
控股公司服务	109100117	109904000	3
非金融机构支付服务	109100118	109904000	3
金融信息服务	109100119	109904000	3
其他未列明金融业	109100120	109904000	3
房地产开发经营	110100100	110100000	3
物业管理	110100101	110100000	3
房地产中介服务	110100102	110100000	3
自有房地产经营活动	110100103	110100000	3
其他房地产业	110100104	110100000	3
机械设备租赁	111100100	111100000	3
文化及日用品出租	111100101	111100000	3
企业管理服务	111101100	111101000	3
法律服务	111101101	111101000	3
咨询与调查	111101102	111101000	3
广告业	111101103	111101000	3
知识产权服务	111101104	111101000	3
人力资源服务	111101105	111101000	3
旅行社及相关服务	111101106	111101000	3
安全保护服务	111101107	111101000	3
其他商务服务业	111101108	111101000	3
自然科学研究和试验发展	112100100	112900000	3
工程和技术研究和试验发展	112100101	112900000	3
农业科学研究和试验发展	112100102	112900000	3
医学研究和试验发展	112100103	112900000	3
社会人文科学研究	112100104	112900000	3
气象服务	112100105	112901000	3
地震服务	112100106	112901000	3
海洋服务	112100107	112901000	3
测绘服务	112100108	112901000	3
质检技术服务	112100109	112901000	3
环境与生态监测	112100110	112901000	3
地质勘查	112100111	112901000	3
工程技术	112100112	112901000	3
其他专业技术服务业	112100113	112901000	3
技术推广服务	112100114	112902000	3
科技中介服务	112100115	112902000	3
其他科技推广和应用服务业	112100116	112902000	3
防洪除涝设施管理	113100100	113900000	3
水资源管理	113100101	113900000	3
天然水收集与分配	113100102	113900000	3
水文服务	113100103	113900000	3
其他水利管理业	113100104	113900000	3
生态保护	113100105	113901000	3
环境治理业	113100106	113901000	3
市政设施管理	113100107	113902000	3
环境卫生管理	113100108	113902000	3
城乡市容管理	113100109	113902000	3
绿化管理	113100110	113902000	3
公园和游览景区管理	113100111	113902000	3
家庭服务	114100100	114900000	3
托儿所服务	114100101	114900000	3
洗染服务	114100102	114900000	3
理发及美容服务	114100103	114900000	3
洗浴服务	114100104	114900000	3
保健服务	114100105	114900000	3
婚姻服务	114100106	114900000	3
殡葬服务	114100107	114900000	3
其他居民服务业	114100108	114900000	3
汽车、摩托车修理与维护	114100109	114901000	3
计算机和办公设备维修	114100110	114901000	3
家用电器修理	114100111	114901000	3
其他日用产品修理业	114100112	114901000	3
清洁服务	114101100	114101000	3
其他未列明服务业	114101101	114101000	3
学前教育	115100100	115100000	3
初等教育	115100101	115100000	3
中等教育	115100102	115100000	3
高等教育	115100103	115100000	3
特殊教育	115100104	115100000	3
技能培训、教育辅助及其他教育	115100105	115100000	3
医院	116100100	116900000	3
社区医疗与卫生院	116100101	116900000	3
门诊部（所）	116100102	116900000	3
计划生育技术服务活动	116100103	116900000	3
妇幼保健院（所、站）	116100104	116900000	3
专科疾病防治院（所、站）	116100105	116900000	3
疾病预防控制中心	116100106	116900000	3
其他卫生活动	116100107	116900000	3
提供住宿社会工作	116100108	116901000	3
不提供住宿社会工作	116100109	116901000	3
新闻业	117100100	117900000	3
出版业	117100101	117900000	3
广播	117100102	117901000	3
电视	117100103	117901000	3
电影和影视节目制作	117100104	117901000	3
电影和影视节目发行	117100105	117901000	3
电影放映	117100106	117901000	3
录音制作	117100107	117901000	3
文艺创作与表演	117101100	117902000	3
艺术表演场馆	117101101	117902000	3
图书馆与档案馆	117101102	117902000	3
文物及非物质文化遗产保护	117101103	117902000	3
博物馆	117101104	117902000	3
烈士陵园、纪念馆	117101105	117902000	3
群众文化活动	117101106	117902000	3
其他文化艺术业	117101107	117902000	3
体育组织	117101108	117903000	3
体育场馆	117101109	117903000	3
休闲健身活动	117101110	117903000	3
其他体育	117101111	117903000	3
室内娱乐活动	117101112	117904000	3
游乐园	117101113	117904000	3
彩票活动	117101114	117904000	3
文化、娱乐、体育经纪代理	117101115	117904000	3
其他娱乐业	117101116	117904000	3
中国共产党机关	118100100	118900000	3
国家权力机构	118100101	118901000	3
国家行政机构	118100102	118901000	3
人民法院和人民检察院	118100103	118901000	3
其他国家机构	118100104	118901000	3
人民政协	118100105	118902000	3
民主党派	118100106	118902000	3
社会保障	118100107	118903000	3
群众团体	118101100	118904000	3
社会团体	118101101	118904000	3
基金会	118101102	118904000	3
宗教组织	118101103	118904000	3
社区自治组织	118101104	118905000	3
